section name,subnet,description
Americana,172.17.84.0/23,Imported from AD Sites and Services - Sumare
Americana,172.23.130.0/24,"Imported from AD Sites and Services - Americana, BR"
Americana,172.23.136.0/24,"Imported from AD Sites and Services - Americana, BR"
Americana,172.23.168.0/24,"Imported from AD Sites and Services - Americana, BR"
Americana,172.23.169.0/24,"Imported from AD Sites and Services - Americana, BR"
Americana,172.23.218.0/24,"Imported from AD Sites and Services - Americana, BR"
Argenteuil,172.23.182.0/24,Imported from AD Sites and Services - Argenteuil
Austin,172.31.110.0/24,Imported from AD Sites and Services - LAN - management
Austin,192.168.116.0/24,Imported from AD Sites and Services - LAN - client
Austin,192.168.117.0/24,Imported from AD Sites and Services - 
Austin,192.168.119.0/24,Imported from AD Sites and Services - LAN - client
Bangalore,172.18.140.0/24,Imported from AD Sites and Services - 
Bangalore,172.18.141.0/24,Imported from AD Sites and Services - 
Bangalore,172.18.142.0/24,Imported from AD Sites and Services - 
Bangalore,172.20.22.0/24,Imported from AD Sites and Services - 
Bangalore,172.23.138.0/23,Imported from AD Sites and Services - 
Bangalore,172.23.204.0/23,Imported from AD Sites and Services - 
Bangalore,172.23.217.0/24,Imported from AD Sites and Services - 
Bangalore,172.23.219.0/24,Imported from AD Sites and Services - 
Bangalore,172.23.222.0/23,Imported from AD Sites and Services - 
Bangalore,172.23.224.0/20,Imported from AD Sites and Services - Bangalore
Bangalore,172.23.226.0/23,Imported from AD Sites and Services - 
Bangalore,172.23.240.0/24,Imported from AD Sites and Services - 
Bangalore,172.23.242.0/23,Imported from AD Sites and Services - 
Bangalore,172.23.244.0/22,Imported from AD Sites and Services - 
Bangalore,172.24.96.0/20,Imported from AD Sites and Services - Bangalore
Bangalore,172.30.160.0/24,Imported from AD Sites and Services - 
Bangalore,172.31.121.0/24,Imported from AD Sites and Services - 
Boston,192.168.76.0/24,Imported from AD Sites and Services - LAN
Budapest,172.23.109.0/24,"Imported from AD Sites and Services - Budapest, HU"
Budapest,172.23.111.0/24,"Imported from AD Sites and Services - Budapest, HU"
Budapest,172.23.137.0/24,"Imported from AD Sites and Services - Budapest, HU"
Budapest,172.23.138.0/24,"Imported from AD Sites and Services - Budapest, HU"
Budapest,172.23.139.0/24,"Imported from AD Sites and Services - Budapest, HU"
Budapest,172.23.151.0/24,"Imported from AD Sites and Services - Budapest, HU"
Budapest,172.23.59.0/24,"Imported from AD Sites and Services - Budapest, HU"
Budapest,172.23.60.0/24,"Imported from AD Sites and Services - Budapest, HU"
Budapest,172.23.61.0/24,"Imported from AD Sites and Services - Budapest, HU"
Chasseneuil,172.23.120.0/24,Imported from AD Sites and Services - Chasseneuil
Chasseneuil,172.23.121.0/24,Imported from AD Sites and Services - Chasseneuil
Chasseneuil,172.23.122.0/24,Imported from AD Sites and Services - Chasseneuil
Chasseneuil,172.23.146.0/24,Imported from AD Sites and Services - Chasseneuil
Chasseneuil,172.23.39.0/24,Imported from AD Sites and Services - Chasseneuil
Chicago,10.140.33.0/25,Imported from AD Sites and Services - SSNI
Chicago,10.140.33.128/25,Imported from AD Sites and Services - SSNI
Chicago,10.140.34.0/24,Imported from AD Sites and Services - SSNI
Chicago,10.140.36.0/26,Imported from AD Sites and Services - SSNI
Chicago,10.140.36.128/26,Imported from AD Sites and Services - SSNI
Chicago,10.37.81.0/25,Imported from AD Sites and Services - SSNI
Cork,172.23.201.0/24,"Imported from AD Sites and Services - Cork, IE"
Cork,172.23.202.0/24,"Imported from AD Sites and Services - Cork, IE"
Cork,172.23.203.0/24,"Imported from AD Sites and Services - Cork, IE"
Davis,192.168.91.0/24,"Imported from AD Sites and Services - Davis, CA"
Dehradun,172.23.14.64/26,Imported from AD Sites and Services - Dehradun
Denver,10.201.10.0/24,Imported from AD Sites and Services - DEM
Denver,10.201.11.0/24,Imported from AD Sites and Services - DEM
Denver,10.201.8.0/24,Imported from AD Sites and Services - DEM
Denver,10.201.9.0/24,Imported from AD Sites and Services - DEM
Denver,172.20.63.0/24,Imported from AD Sites and Services - DEM
Denver,172.21.216.0/24,Imported from AD Sites and Services - DEM
Denver,172.21.217.0/24,Imported from AD Sites and Services - DEM
Denver,172.21.218.0/24,Imported from AD Sites and Services - DEM
Denver,172.31.128.0/24,Imported from AD Sites and Services - DEM
Denver,172.31.208.96/27,Imported from AD Sites and Services - DEM
Dordrecht,172.23.54.0/24,"Imported from AD Sites and Services - Dordrecht, Netherlands"
Felixstowe,172.23.135.0/24,Imported from AD Sites and Services - Felixstowe
Felixstowe,172.23.154.0/24,Imported from AD Sites and Services - Felixstowe
France-Datacenter,172.23.101.0/24,"Imported from AD Sites and Services - Vienna, AT"
France-Datacenter,172.23.104.0/26,"Imported from AD Sites and Services - Geneva, CH"
France-Datacenter,172.23.127.0/24,"Imported from AD Sites and Services - Chaveneau, France"
France-Datacenter,172.23.14.192/26,Imported from AD Sites and Services - Al Khobar
France-Datacenter,172.23.2.0/23,Imported from AD Sites and Services - VPN
France-Datacenter,172.23.3.0/24,Imported from AD Sites and Services - VPN
France-Datacenter,172.29.128.0/20,Imported from AD Sites and Services - Azure
Genas,172.23.176.0/22,"Imported from AD Sites and Services - Genas, FR"
Guadalajara,172.23.26.0/26,"Imported from AD Sites and Services - Guadalajara, MX"
Haguenau,172.23.189.0/24,Imported from AD Sites and Services - 
Haguenau,172.23.252.0/24,Imported from AD Sites and Services - 
Issy,172.17.96.0/24,Imported from AD Sites and Services - LAN - 172.17.96.x - 172.17.99.x
Issy,172.23.160.0/24,Imported from AD Sites and Services - Issy
Issy,172.23.161.0/24,Imported from AD Sites and Services - Issy
Issy,172.23.162.0/24,Imported from AD Sites and Services - Issy
